trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000004_001.trj,913.00,243.39,201.17,0.00,2.60,1.30,8.66,5.06,-1.23,-1.36,2.65,-0.58,6:01,rear end,6.01,180.17,484,2,1,4.50,2.11,180.57,3.60,2.41,251.98,201.03,238.95,200.90,485,2,1,4.14,2.08,179.99,8.66,2.65,271.32,201.17,247.67,201.18,0.75,0.40,99.00,
S000004_001.trj,934.30,194.73,271.77,0.00,2.10,2.40,16.03,1.01,-0.57,-3.23,0.56,0.00,6:00,rear end,15.47,269.96,498,4,1,4.99,2.12,269.96,15.02,0.46,194.73,271.77,194.70,232.29,501,4,1,4.33,1.99,269.96,16.03,0.56,194.75,313.03,194.71,248.91,0.00,99.00,0.04,
S000004_001.trj,935.10,198.03,269.62,0.00,2.30,2.20,14.39,0.53,-0.56,-3.21,0.31,0.00,5:59,rear end,14.16,269.96,499,4,2,3.56,1.88,269.96,13.85,0.31,198.03,269.62,198.01,235.53,503,4,2,4.41,2.05,269.96,14.39,0.23,198.05,304.62,198.02,255.78,0.00,99.00,0.06,
S000004_001.trj,937.20,194.73,275.00,0.00,1.70,2.50,14.61,0.31,-0.54,-3.10,0.15,0.00,6:00,rear end,14.46,269.96,501,4,1,4.33,1.99,269.96,14.61,0.15,194.73,275.00,194.71,238.38,506,4,1,4.14,2.08,269.96,14.31,0.15,194.75,313.83,194.71,248.70,0.00,99.00,0.10,
S000004_001.trj,967.90,283.72,199.52,0.00,2.70,1.80,14.43,0.81,-0.54,-3.13,0.42,2.81,5:54,rear end,14.23,178.51,521,2,1,4.59,2.04,177.18,14.43,0.39,283.72,199.52,250.07,201.18,523,2,1,4.14,2.08,179.99,14.02,0.42,312.09,201.17,269.60,201.17,0.00,99.00,0.05,
S000004_001.trj,992.00,170.57,188.53,0.00,2.00,3.20,2.46,2.27,-2.91,-2.91,1.13,0.00,6:00,rear end,1.33,359.99,526,1,1,4.14,2.08,359.99,0.19,1.13,170.46,188.53,179.20,188.53,534,1,1,4.33,1.99,359.99,2.46,1.13,161.89,188.54,166.34,188.54,1.00,0.30,99.00,
S000004_001.trj,990.60,129.34,188.54,0.00,1.70,2.60,14.67,0.78,-0.55,-4.35,0.41,-2.18,6:04,lane change,14.41,358.81,534,1,1,4.33,1.99,359.98,14.12,0.41,127.94,188.55,167.66,188.53,537,1,2,4.78,2.02,357.80,14.67,0.37,88.11,190.97,151.51,188.54,0.00,99.00,0.08,
S000004_001.trj,991.40,125.60,188.54,0.00,1.50,2.60,12.55,1.24,-3.08,-4.45,0.62,2.63,5:55,lane change,11.99,1.37,533,1,1,4.78,2.02,359.99,11.44,0.62,125.60,188.54,157.52,188.54,535,1,1,4.75,2.03,2.62,12.55,0.62,93.37,188.55,143.52,190.85,0.00,99.00,99.00,
S000004_001.trj,1012.60,194.72,267.05,0.00,2.40,2.00,14.89,0.70,-0.53,-3.03,0.36,-2.32,6:05,lane change,14.71,268.75,543,4,1,4.41,2.05,269.96,14.52,0.36,194.72,267.05,194.70,229.74,545,4,2,4.75,2.03,267.64,14.89,0.34,196.73,300.85,194.72,251.94,0.00,99.00,0.10,
S000004_001.trj,1035.30,197.99,215.95,0.00,1.80,2.60,5.39,5.11,-2.87,-6.44,2.58,0.00,6:00,rear end,2.86,269.96,538,4,2,4.50,2.11,269.96,0.28,2.58,197.99,216.21,197.99,205.55,552,4,2,4.75,2.03,269.96,5.39,2.53,198.00,229.99,198.00,220.53,0.50,0.30,99.00,
S000004_001.trj,1039.50,236.35,197.88,0.00,2.30,3.30,14.79,4.94,-0.55,-3.65,2.57,0.00,5:59,rear end,12.22,179.99,555,2,2,4.75,2.03,179.99,9.85,2.37,239.18,197.88,220.11,197.88,558,2,2,4.32,2.06,179.99,14.79,2.57,287.71,197.87,230.17,197.88,0.00,99.00,99.00,
S000004_001.trj,1054.50,130.74,188.54,0.00,2.70,1.60,13.34,0.40,-0.53,-2.13,0.20,0.00,5:59,rear end,13.14,359.99,562,1,1,4.14,2.08,359.99,13.34,0.20,129.41,188.54,157.35,188.54,564,1,1,4.14,2.08,359.99,12.94,0.20,104.69,188.55,136.86,188.54,0.00,99.00,0.13,
