trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000002_001.trj,1145.40,247.04,201.18,0.00,2.10,3.40,16.07,6.03,-0.54,-3.05,3.06,0.00,6:00,rear end,13.01,179.99,604,2,1,4.32,2.06,179.99,10.04,2.97,247.04,201.18,227.21,201.18,609,2,1,4.33,1.99,179.99,16.07,3.06,297.92,201.17,237.31,201.18,0.00,99.00,0.17,
S000002_001.trj,1175.60,239.33,201.18,0.00,1.70,1.90,4.52,4.12,-2.58,-2.62,2.15,6.40,5:47,rear end,2.56,185.90,615,2,1,4.75,2.03,179.99,0.41,2.15,239.76,201.18,236.34,201.18,624,2,1,4.99,2.12,186.39,4.52,1.97,251.37,201.18,244.14,200.37,1.00,0.30,99.00,
S000002_001.trj,1175.60,238.70,197.88,0.00,1.90,3.20,4.52,4.19,-2.58,-2.62,2.22,7.70,5:45,rear end,2.55,187.22,617,2,2,4.59,2.04,179.99,0.33,2.22,239.04,197.88,224.86,197.88,624,2,1,4.99,2.12,187.69,4.52,1.97,251.37,201.18,243.05,200.05,1.00,0.30,99.00,
S000002_001.trj,1182.30,198.01,248.36,0.00,1.80,2.40,14.81,0.84,-0.56,-3.22,0.42,0.00,6:00,rear end,14.39,269.96,629,4,2,4.78,2.02,269.96,13.97,0.42,198.02,252.42,197.99,216.61,633,4,2,4.75,2.03,269.96,14.81,0.42,198.04,292.36,198.00,227.46,0.00,99.00,0.04,
S000002_001.trj,1183.30,207.03,122.13,0.00,2.30,2.20,15.54,2.15,-0.52,-2.93,1.09,0.00,6:00,rear end,14.48,89.99,632,3,1,4.33,1.99,89.99,13.39,1.09,207.03,122.13,207.04,156.99,635,3,1,4.32,2.06,89.99,15.54,1.06,207.02,84.85,207.03,136.18,0.00,1.70,0.04,
S000002_001.trj,1186.60,207.03,126.34,0.00,1.80,2.70,15.08,2.28,-0.52,-2.91,1.19,0.00,5:59,rear end,13.99,89.99,635,3,1,4.32,2.06,89.99,12.81,1.19,207.03,123.84,207.04,155.14,636,3,1,4.75,2.03,89.99,15.08,1.09,207.02,80.93,207.03,145.79,0.00,1.80,0.17,
S000002_001.trj,1198.90,194.73,276.82,0.00,2.80,1.60,13.78,0.28,-0.54,-2.56,0.15,0.00,6:00,rear end,13.62,269.96,639,4,1,4.99,2.12,269.96,13.50,0.13,194.73,276.82,194.71,247.90,641,4,1,4.14,2.08,269.96,13.78,0.15,194.75,302.88,194.73,268.86,0.00,99.00,0.16,
S000002_001.trj,1200.90,194.71,250.47,0.00,2.80,4.00,15.65,6.63,-0.54,-3.02,3.60,0.00,6:00,rear end,12.05,269.96,639,4,1,4.99,2.12,269.96,9.03,3.03,194.71,250.47,194.71,234.96,644,4,1,4.32,2.06,269.96,15.65,3.60,194.75,303.23,194.71,247.46,0.00,0.80,0.27,
S000002_001.trj,1200.80,194.73,272.69,0.00,3.00,1.80,15.65,2.54,-0.54,-3.02,1.29,-1.18,6:02,rear end,14.41,270.49,641,4,1,4.14,2.08,271.15,13.13,1.29,194.73,272.69,195.24,247.19,644,4,1,4.32,2.06,269.96,15.65,1.25,194.75,303.23,194.72,266.67,0.00,99.00,0.10,
S000002_001.trj,1204.20,195.55,244.99,0.00,2.00,3.80,13.21,6.00,-2.15,-2.77,3.30,-4.89,6:10,lane change,10.53,275.10,641,4,1,4.14,2.08,278.47,7.27,3.30,195.24,247.19,197.95,228.95,646,4,1,4.99,2.12,273.58,13.21,2.70,194.74,286.89,197.69,239.72,0.25,99.00,0.15,
