trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000001_001.trj,1145.90,239.95,197.88,0.00,2.00,3.40,16.07,5.75,-0.54,-3.01,2.92,0.00,6:00,rear end,13.15,179.99,604,2,2,4.32,2.06,179.99,10.32,2.83,240.97,197.88,220.26,197.88,609,2,2,4.33,1.99,179.99,16.07,2.92,291.49,197.87,230.20,197.88,0.00,0.90,0.47,
S000001_001.trj,1149.00,247.39,197.88,0.00,2.00,3.20,13.82,3.27,-0.54,-3.11,1.71,3.31,5:53,lane change,12.29,181.94,609,2,2,4.33,1.99,179.99,10.62,1.71,248.43,197.88,226.40,197.88,612,2,1,4.50,2.11,183.30,13.82,1.56,291.94,201.17,236.61,197.98,0.00,99.00,0.25,
S000001_001.trj,1175.10,238.62,198.13,0.00,1.90,2.40,6.14,5.63,-2.83,-3.67,2.99,0.27,5:59,rear end,3.50,179.97,617,2,2,4.59,2.04,179.72,0.51,2.99,239.00,198.16,208.22,198.32,624,2,2,4.99,2.12,179.99,6.14,2.64,254.45,197.88,233.96,197.88,0.50,0.30,99.00,
S000001_001.trj,1182.30,198.01,248.38,0.00,1.80,2.40,14.81,0.84,-0.56,-3.22,0.42,0.00,6:00,rear end,14.39,269.96,629,4,2,4.78,2.02,269.96,13.97,0.42,198.02,252.44,197.99,216.61,633,4,2,4.75,2.03,269.96,14.81,0.42,198.04,292.37,198.00,227.46,0.00,99.00,0.05,
S000001_001.trj,1183.30,207.03,122.13,0.00,2.30,2.20,15.54,2.33,-2.61,-2.61,1.18,-3.62,6:07,lane change,14.47,88.02,632,3,1,4.33,1.99,89.99,13.39,1.18,207.03,122.13,207.04,157.81,635,3,2,4.32,2.06,86.37,15.54,1.15,203.72,84.87,207.02,136.77,0.00,99.00,0.20,
S000001_001.trj,1187.10,206.15,121.85,0.00,1.80,2.50,15.08,2.68,-0.51,-2.90,1.39,1.51,5:57,rear end,13.81,89.34,635,3,1,4.32,2.06,88.48,12.43,1.39,206.15,121.85,207.04,155.14,636,3,1,4.75,2.03,89.99,15.08,1.28,207.02,80.70,207.03,146.85,0.00,99.00,0.16,
S000001_001.trj,1204.20,194.71,235.45,0.00,0.00,0.00,11.56,2.60,-3.11,-7.42,1.41,2.96,5:54,rear end,10.18,271.50,639,4,1,4.99,2.12,269.96,9.02,1.19,194.71,250.44,194.71,235.45,641,4,1,4.32,2.06,272.93,11.56,1.41,194.72,265.68,196.03,240.17,0.25,99.00,0.13,
S000001_001.trj,1200.90,194.71,250.44,0.00,2.80,3.90,15.65,6.63,-0.54,-3.06,3.60,-0.01,6:00,rear end,12.05,269.96,639,4,1,4.99,2.12,269.96,9.02,3.03,194.71,250.44,194.71,234.96,644,4,1,4.32,2.06,269.96,15.65,3.60,194.75,303.15,194.71,247.25,0.00,99.00,0.57,
S000001_001.trj,1201.00,194.72,260.28,0.00,2.90,2.40,15.65,4.51,-0.54,-3.06,2.25,-4.22,6:08,lane change,13.44,271.73,641,4,1,4.32,2.06,274.18,11.25,2.25,194.72,264.54,196.75,236.81,644,4,1,4.32,2.06,269.96,15.65,2.25,194.75,301.59,194.72,253.41,0.00,99.00,0.16,
S000001_001.trj,1203.80,195.62,242.50,0.00,3.00,4.20,12.04,5.76,-2.67,-2.83,3.13,-6.30,6:13,lane change,9.43,275.49,641,4,1,4.32,2.06,279.86,6.36,3.13,195.62,242.50,197.92,229.22,646,4,1,4.99,2.12,273.56,12.04,2.63,194.73,281.85,197.25,241.42,0.00,99.00,0.22,
